company_name,high,low,last_price,prev_close,change,percent_gain
Asahi India,668.95,615.25,634.55,621.15,13.40,2.16
Alkyl Amines,"1,673.90","1,633.05","1,667.65","1,632.60",35.05,2.15
JSW Steel,941.05,908.00,935.85,916.15,19.70,2.15
Bajaj Holdings,"11,374.75","11,029.30","11,263.90","11,029.30",234.60,2.13
Five-Star Busin,736.65,713.55,734.90,719.70,15.20,2.11
Exide Ind,361.50,338.65,350.55,343.35,7.20,2.1
Page Industries,"46,098.95","44,583.00","45,621.40","44,683.55",937.85,2.1
Grasim,"2,464.00","2,397.00","2,461.80","2,411.30",50.50,2.09
Jaiprakash Pow,15.58,15.02,15.26,14.95,0.31,2.07
Tata Motors,751.50,726.55,743.35,728.25,15.10,2.07
Tata Motors,751.50,726.55,743.35,728.25,15.10,2.07
Indegene,624.40,603.40,618.20,605.70,12.50,2.06
Jubilant Ing.,684.95,655.65,672.55,659.00,13.55,2.06
SKF India,"4,078.00","3,947.20","4,018.20","3,937.35",80.85,2.05
PVR INOX,"1,077.40","1,045.90","1,075.45","1,053.95",21.50,2.04
Triveni Engg,398.40,383.15,393.00,385.15,7.85,2.04
Siemens,"5,810.00","5,658.00","5,798.55","5,684.35",114.20,2.01
Tata Chemicals,961.70,940.50,960.60,941.80,18.80,2
Coal India,379.30,370.80,378.00,370.65,7.35,1.98
VIP Industries,378.90,350.05,373.50,366.25,7.25,1.98
Sun TV Network,641.80,625.20,639.15,626.80,12.35,1.97
Bank of Mah,51.10,49.54,50.37,49.40,0.97,1.96
United Brewerie,"2,080.00","2,027.05","2,070.15","2,030.45",39.70,1.96
Yes Bank,18.92,18.27,18.73,18.37,0.36,1.96
United Spirits,"1,426.00","1,381.05","1,424.15","1,397.05",27.10,1.94
Finolex Ind,207.45,201.00,203.85,200.00,3.85,1.93
HDFC AMC,"3,768.40","3,682.20","3,759.80","3,688.65",71.15,1.93
SRF,"2,677.70","2,557.75","2,650.20","2,600.20",50.00,1.92
Poonawalla Fin,327.75,306.65,314.55,308.70,5.85,1.9
Aurobindo Pharm,"1,160.00","1,133.05","1,160.00","1,138.60",21.40,1.88
Marico,683.60,664.35,676.35,663.95,12.40,1.87
PI Industries,"3,417.60","3,327.50","3,410.55","3,347.90",62.65,1.87
Kotak Mahindra,"1,924.00","1,885.00","1,922.95","1,887.75",35.20,1.86
Piramal Enter,973.50,940.00,967.50,950.15,17.35,1.83
Tube Investment,"3,275.00","3,125.00","3,195.65","3,138.30",57.35,1.83
Phoenix Mills,"1,558.40","1,517.45","1,541.65","1,514.30",27.35,1.81
Torrent Pharma,"3,390.00","3,300.00","3,374.90","3,314.80",60.10,1.81
PNC Infratech,306.50,295.10,302.45,297.10,5.35,1.8
Krishna Inst.,607.15,585.95,606.25,595.60,10.65,1.79
Krishna Inst.,607.15,585.95,606.25,595.60,10.65,1.79
Zee Entertain,106.99,103.81,105.52,103.66,1.86,1.79
ABB India,"6,139.20","6,015.00","6,105.00","5,998.95",106.05,1.77
Alkem Lab,"5,009.85","4,906.75","5,003.05","4,916.05",87.00,1.77
Bharat Dynamics,"1,256.00","1,208.05","1,233.45","1,212.05",21.40,1.77
Bharat Dynamics,"1,256.00","1,208.05","1,233.45","1,212.05",21.40,1.77
Ramco Cements,932.85,902.10,923.20,907.10,16.10,1.77
Tech Mahindra,"1,684.90","1,654.05","1,677.55","1,648.35",29.20,1.77
NALCO,194.77,188.25,192.86,189.53,3.33,1.76
KPIL,"1,035.00","1,001.20","1,033.70","1,015.95",17.75,1.75
Sun Pharma,"1,736.40","1,696.00","1,735.30","1,705.50",29.80,1.75
Federal Bank,187.36,181.61,187.30,184.10,3.20,1.74
Fine Organics,"4,365.50","4,275.15","4,349.55","4,275.15",74.40,1.74
M&M,"2,925.00","2,856.30","2,920.55","2,870.60",49.95,1.74
IRCTC,764.55,749.00,763.05,750.05,13.00,1.73
Sundram,"1,000.05",971.00,993.00,976.15,16.85,1.73
Bikaji Foods,655.25,637.30,654.95,643.85,11.10,1.72
Eicher Motors,"5,235.00","5,080.55","5,191.65","5,105.40",86.25,1.69
FSN E-Co Nykaa,172.49,165.61,170.61,167.78,2.83,1.69
Sterling Wilson,324.85,312.00,315.05,309.80,5.25,1.69
NHPC,75.63,73.10,74.32,73.09,1.23,1.68
HFCL,97.22,93.87,95.43,93.87,1.56,1.66
KEI Industries,"4,020.00","3,912.00","3,976.55","3,911.50",65.05,1.66
New India Assur,177.35,170.45,173.18,170.35,2.83,1.66
Bajaj Finserv,"1,804.95","1,767.25","1,798.05","1,768.95",29.10,1.65
Bajaj Finserv,"1,804.95","1,767.25","1,798.05","1,768.95",29.10,1.65
AU Small Financ,603.60,588.00,598.35,588.70,9.65,1.64
HCL Tech,"1,724.10","1,696.00","1,720.90","1,693.25",27.65,1.63
MRPL,126.71,123.25,125.07,123.07,2.00,1.63
Lupin,"2,057.00","2,005.05","2,054.55","2,022.35",32.20,1.59
Natco Pharma,"1,194.95","1,139.20","1,164.40","1,146.35",18.05,1.57
